created_at,tweet_id,retweet_count,favorite_count
Mon Jun 12 16:06:11 +0000 2017,874296783580663808,4308,26651
Mon Jun 12 00:15:36 +0000 2017,874057562936811520,4125,23134
Sun Jun 11 21:18:31 +0000 2017,874012996292530176,11007,35501
Sun Jun 11 00:25:14 +0000 2017,873697596434513921,12518,0
Sat Jun 10 16:39:04 +0000 2017,873580283840344065,4143,24837
Sat Jun 10 00:35:19 +0000 2017,873337748698140672,1667,0
Fri Jun 09 16:22:42 +0000 2017,873213775632977920,1667,7467
Fri Jun 09 00:02:31 +0000 2017,872967104147763200,5669,28031
Thu Jun 08 14:20:41 +0000 2017,872820683541237760,3884,15029
Thu Jun 08 04:17:07 +0000 2017,872668790621863937,31,0
Thu Jun 08 01:06:27 +0000 2017,872620804844003328,3911,21309
Wed Jun 07 16:14:40 +0000 2017,872486979161796608,9429,41606
Wed Jun 07 01:19:32 +0000 2017,872261713294495745,6649,35085
Tue Jun 06 16:07:15 +0000 2017,872122724285648897,8549,35324
Tue Jun 06 00:01:46 +0000 2017,871879754684805121,11918,39090
Mon Jun 05 16:15:56 +0000 2017,871762521631449091,3678,20787
Sun Jun 04 23:56:03 +0000 2017,871515927908634625,3628,20730
Sun Jun 04 00:46:17 +0000 2017,871166179821445120,5991,0
Sat Jun 03 20:33:19 +0000 2017,871102520638267392,5764,21461
Sat Jun 03 15:55:36 +0000 2017,871032628920680449,3999,23255
Sat Jun 03 00:48:22 +0000 2017,870804317367881728,6393,33791
Fri Jun 02 19:38:25 +0000 2017,870726314365509632,3,121
Fri Jun 02 15:00:16 +0000 2017,870656317836468226,2817,12819
Thu Jun 01 20:18:38 +0000 2017,870374049280663552,27680,85011
Thu Jun 01 16:00:09 +0000 2017,870308999962521604,4384,22453
Wed May 31 23:43:25 +0000 2017,870063196459192321,8840,37771
Wed May 31 18:47:24 +0000 2017,869988702071779329,25661,0
Wed May 31 04:27:59 +0000 2017,869772420881756160,10663,43710
Tue May 30 23:51:58 +0000 2017,869702957897576449,6728,29116
Tue May 30 16:49:31 +0000 2017,869596645499047938,3327,16476
Mon May 29 16:24:37 +0000 2017,869227993411051520,4023,21112
Sun May 28 17:23:24 +0000 2017,868880397819494401,12518,55098
Sun May 28 01:26:04 +0000 2017,868639477480148993,2240,0
Sun May 28 00:18:35 +0000 2017,868622495443632128,6275,28295
Sat May 27 19:39:34 +0000 2017,868552278524837888,2240,10539
Fri May 26 00:29:37 +0000 2017,867900495410671616,4439,24964
Thu May 25 16:10:44 +0000 2017,867774946302451713,7788,35179
Wed May 24 16:44:18 +0000 2017,867421006826221569,2697,16755
Tue May 23 17:40:04 +0000 2017,867072653475098625,135,0
Tue May 23 16:16:06 +0000 2017,867051520902168576,8425,33420
Tue May 23 00:41:20 +0000 2017,866816280283807744,32883,0
Mon May 22 18:21:28 +0000 2017,866720684873056260,5168,20888
Mon May 22 16:06:55 +0000 2017,866686824827068416,3727,20070
Mon May 22 00:28:40 +0000 2017,866450705531457537,32883,106827
Sun May 21 16:48:45 +0000 2017,866334964761202691,15546,54720
Sun May 21 00:53:21 +0000 2017,866094527597207552,8952,0
Fri May 19 23:57:46 +0000 2017,865718153858494464,6008,26640
Fri May 19 00:12:11 +0000 2017,865359393868664832,5384,27530
Thu May 18 00:50:50 +0000 2017,865006731092295680,8209,29063
Wed May 17 16:00:15 +0000 2017,864873206498414592,9361,33651
Tue May 16 00:41:21 +0000 2017,864279568663928832,3266,15195
Mon May 15 19:14:50 +0000 2017,864197398364647424,9616,31459
Mon May 15 00:02:33 +0000 2017,863907417377173506,4441,21477
Sun May 14 00:34:33 +0000 2017,863553081350529029,4489,15935
Sat May 13 19:11:30 +0000 2017,863471782782697472,2687,0
Sat May 13 16:33:49 +0000 2017,863432100342583297,5664,24829
Sat May 13 16:15:35 +0000 2017,863427515083354112,105,2363
Fri May 12 17:12:53 +0000 2017,863079547188785154,1195,9094
Fri May 12 16:05:02 +0000 2017,863062471531167744,2687,8945
Fri May 12 00:46:44 +0000 2017,862831371563274240,5457,20011
Thu May 11 17:34:13 +0000 2017,862722525377298433,3809,17779
Thu May 11 00:01:27 +0000 2017,862457590147678208,5388,21492
Wed May 10 00:08:34 +0000 2017,862096992088072192,21840,66437
Tue May 09 02:29:07 +0000 2017,861769973181624320,37911,0
Mon May 08 00:54:59 +0000 2017,861383897657036800,11528,37744
Sun May 07 18:36:02 +0000 2017,861288531465048066,4479,18032
Sat May 06 23:49:50 +0000 2017,861005113778896900,4119,17538
Sat May 06 22:16:42 +0000 2017,860981674716409858,2334,0
Sat May 06 18:27:40 +0000 2017,860924035999428608,882,0
Fri May 05 18:36:06 +0000 2017,860563773140209665,2334,7878
Fri May 05 16:00:04 +0000 2017,860524505164394496,5698,24678
Thu May 04 23:34:55 +0000 2017,860276583193509888,3745,19154
Thu May 04 17:30:24 +0000 2017,860184849394610176,6295,17474
Thu May 04 17:01:34 +0000 2017,860177593139703809,33421,0
Thu May 04 00:15:58 +0000 2017,859924526012018688,4349,20021
Wed May 03 19:26:06 +0000 2017,859851578198683649,3780,16105
Wed May 03 03:17:27 +0000 2017,859607811541651456,1704,19476
Tue May 02 00:04:57 +0000 2017,859196978902773760,25661,75193
Mon May 01 15:58:40 +0000 2017,859074603037188101,14740,35553
Mon May 01 01:47:28 +0000 2017,858860390427611136,8805,0
Mon May 01 00:40:27 +0000 2017,858843525470990336,3771,16304
Sun Apr 30 00:02:42 +0000 2017,858471635011153920,5271,22640
Fri Apr 28 23:57:28 +0000 2017,858107933456039936,3154,16524
Fri Apr 28 16:08:49 +0000 2017,857989990357356544,2812,16952
Fri Apr 28 00:00:54 +0000 2017,857746408056729600,11524,36021
Thu Apr 27 00:38:11 +0000 2017,857393404942143489,1785,6236
Wed Apr 26 16:00:39 +0000 2017,857263160327368704,4934,21041
Wed Apr 26 12:48:51 +0000 2017,857214891891077121,20,242
Wed Apr 26 02:41:43 +0000 2017,857062103051644929,183,0
Wed Apr 26 00:33:27 +0000 2017,857029823797047296,4364,19910
Mon Apr 24 20:17:23 +0000 2017,856602993587888130,11633,0
Mon Apr 24 16:22:16 +0000 2017,856543823941562368,3131,17135
Mon Apr 24 15:13:52 +0000 2017,856526610513747968,2068,12446
Mon Apr 24 02:15:55 +0000 2017,856330835276025856,731,0
Sun Apr 23 23:26:03 +0000 2017,856288084350160898,17,545
Sun Apr 23 23:01:59 +0000 2017,856282028240666624,6841,29086
Sat Apr 22 19:15:32 +0000 2017,855862651834028034,27,320
Sat Apr 22 19:05:32 +0000 2017,855860136149123072,1058,4407
Sat Apr 22 18:55:51 +0000 2017,855857698524602368,2313,12498
Sat Apr 22 18:31:02 +0000 2017,855851453814013952,19196,47844
Sat Apr 22 16:18:34 +0000 2017,855818117272018944,5943,28056
Fri Apr 21 16:33:22 +0000 2017,855459453768019968,8987,31657
Fri Apr 21 02:22:29 +0000 2017,855245323840757760,6568,0
Thu Apr 20 19:16:59 +0000 2017,855138241867124737,50,0
Wed Apr 19 16:25:34 +0000 2017,854732716440526848,6690,24188
